ID,Full Name,Gender,Date of Birth,Checkout Date,Purpose,SOURCE,Overall Experience,NPS RATING,NPS CATEGORY,Feedback,Feedback Category,Rating,Rating Range
417,Guest 00417,Male,16-07-1951,21-04-2021,Function,Organization,2,7,Passives,Staff attitude,Staff,Excellent,5
418,Guest 00418,Female,26-08-1979,28-05-2020,Other,hotel booking sites,4,5,Detractors,Check-in Process,Staff,Good,3
419,Guest 00419,Female,29-04-1981,16-09-2020,Function,Search engine,4,9,Promoters,Room service,Room,Good,3
420,Guest 00420,Male,25-01-2005,20-08-2021,Business,Organization,3,8,Passives,Room cleanliness,Room,Good,3
421,Guest 00421,Male,18-11-1988,11-02-2020,Vacation,News paper,5,8,Passives,Food quality,Restaurant,Poor,1
422,Guest 00422,Male,05-07-1981,15-05-2020,Vacation,Internet advertisement,5,4,Detractors,Variety of food,Restaurant,Excellent,5
423,Guest 00423,Female,25-06-1975,25-08-2022,Other,hotel booking sites,3,9,Promoters,Broadband & TV,Facility,Poor,1
424,Guest 00424,Female,13-07-1982,31-10-2020,Business,Organization,4,8,Passives,Gym,Facility,Average,2
425,Guest 00425,Female,16-04-1963,11-10-2021,Business,Organization,4,7,Passives,Staff attitude,Staff,Good,3
426,Guest 00426,Male,18-01-1970,13-02-2020,Function,Search engine,1,9,Promoters,Check-in Process,Staff,Excellent,5
427,Guest 00427,Male,07-08-1962,23-08-2020,Function,Organization,2,9,Promoters,Room service,Room,Average,2
428,Guest 00428,Male,14-04-1970,20-05-2021,Business,Organization,5,4,Detractors,Room cleanliness,Room,Poor,1
429,Guest 00429,Female,13-04-1979,11-12-2021,Vacation,Search engine,5,9,Promoters,Food quality,Restaurant,Very good,4
430,Guest 00430,Female,15-07-1988,25-03-2020,Business,Organization,2,9,Promoters,Variety of food,Restaurant,Poor,1
431,Guest 00431,Female,23-07-2002,19-06-2020,Business,Organization,2,8,Passives,Broadband & TV,Facility,Excellent,5
432,Guest 00432,Male,13-10-2005,06-11-2020,Business,Organization,4,8,Passives,Gym,Facility,Very good,4
433,Guest 00433,Female,05-09-1961,27-05-2020,Function,Television advertisement,4,6,Detractors,Staff attitude,Staff,Very good,4
434,Guest 00434,Female,05-11-1957,10-06-2022,Business,Word of mouth,2,7,Passives,Check-in Process,Staff,Excellent,5
435,Guest 00435,Male,16-12-1963,05-07-2020,Business,Word of mouth,2,9,Promoters,Room service,Room,Good,3
436,Guest 00436,Male,01-10-1986,22-04-2022,Business,Organization,2,9,Promoters,Room cleanliness,Room,Average,2
437,Guest 00437,Female,26-03-1955,03-08-2021,Business,Organization,3,8,Passives,Food quality,Restaurant,Poor,1
438,Guest 00438,Male,13-12-2004,06-07-2022,Vacation,hotel booking sites,5,9,Promoters,Variety of food,Restaurant,Average,2
439,Guest 00439,Female,19-02-2001,02-11-2022,Vacation,Word of mouth,5,8,Passives,Broadband & TV,Facility,Excellent,5
440,Guest 00440,Male,23-06-1958,23-02-2020,Business,Organization,3,7,Passives,Gym,Facility,Excellent,5
441,Guest 00441,Male,28-02-1961,06-02-2020,Vacation,hotel booking sites,4,8,Passives,Staff attitude,Staff,Good,3
442,Guest 00442,Male,17-05-1978,26-08-2021,Vacation,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Very good,4
443,Guest 00443,Female,26-06-2005,05-06-2021,Vacation,Search engine,2,9,Promoters,Room service,Room,Very good,4
444,Guest 00444,Male,14-10-1966,04-12-2022,Function,News paper,3,5,Detractors,Room cleanliness,Room,Very good,4
445,Guest 00445,Female,10-03-1963,23-12-2021,Business,Organization,2,9,Promoters,Food quality,Restaurant,Good,3
446,Guest 00446,Male,26-07-1966,18-05-2022,Vacation,Television advertisement,4,9,Promoters,Variety of food,Restaurant,Very good,4
447,Guest 00447,Male,02-09-1997,02-10-2020,Business,Search engine,5,7,Passives,Broadband & TV,Facility,Very good,4
448,Guest 00448,Male,20-04-1959,19-04-2020,Business,Organization,2,9,Promoters,Gym,Facility,Very good,4
449,Guest 00449,Male,17-02-1964,08-04-2020,Function,Search engine,5,9,Promoters,Staff attitude,Staff,Excellent,5
450,Guest 00450,Male,12-06-1986,26-06-2020,Business,Organization,5,6,Detractors,Check-in Process,Staff,Good,3
451,Guest 00451,Female,15-04-1964,29-07-2022,Business,Organization,5,3,Detractors,Room service,Room,Excellent,5
452,Guest 00452,Female,10-09-1999,20-10-2021,Business,Organization,4,9,Promoters,Room cleanliness,Room,Good,3
453,Guest 00453,Female,22-10-1971,26-09-2021,Business,Organization,2,9,Promoters,Food quality,Restaurant,Good,3
454,Guest 00454,Male,16-05-2002,23-01-2022,Function,Television advertisement,5,3,Detractors,Variety of food,Restaurant,Average,2
455,Guest 00455,Male,28-03-1960,20-02-2022,Business,Organization,4,6,Detractors,Broadband & TV,Facility,Average,2
456,Guest 00456,Female,10-01-1980,23-06-2021,Vacation,Search engine,3,9,Promoters,Gym,Facility,Average,2
457,Guest 00457,Female,14-05-1956,03-11-2020,Business,Organization,5,10,Promoters,Staff attitude,Staff,Very good,4
458,Guest 00458,Male,08-06-1960,06-07-2021,Business,Organization,4,8,Passives,Check-in Process,Staff,Excellent,5
459,Guest 00459,Male,11-12-1960,12-06-2020,Business,Organization,2,9,Promoters,Room service,Room,Excellent,5
460,Guest 00460,Female,10-10-1954,15-06-2021,Business,Organization,3,9,Promoters,Room cleanliness,Room,Very good,4
461,Guest 00461,Female,16-08-1990,07-12-2020,Vacation,hotel booking sites,4,9,Promoters,Food quality,Restaurant,Average,2
462,Guest 00462,Female,24-12-1993,28-06-2021,Vacation,Internet advertisement,5,9,Promoters,Variety of food,Restaurant,Poor,1
463,Guest 00463,Male,09-01-1994,14-10-2020,Business,hotel booking sites,4,10,Promoters,Broadband & TV,Facility,Poor,1
464,Guest 00464,Female,14-09-1977,10-03-2021,Business,Organization,4,10,Promoters,Gym,Facility,Very good,4
465,Guest 00465,Male,03-09-1974,07-01-2021,Business,Organization,4,5,Detractors,Staff attitude,Staff,Very good,4
466,Guest 00466,Female,04-07-1963,10-03-2020,Function,Organization,5,8,Passives,Check-in Process,Staff,Good,3
467,Guest 00467,Male,28-12-2001,16-06-2021,Vacation,Internet advertisement,2,9,Promoters,Room service,Room,Excellent,5
468,Guest 00468,Female,16-07-1971,02-11-2022,Business,Organization,3,4,Detractors,Room cleanliness,Room,Good,3
469,Guest 00469,Male,29-11-1967,09-12-2021,Business,Organization,3,7,Passives,Food quality,Restaurant,Average,2
470,Guest 00470,Male,25-08-1965,30-06-2020,Vacation,hotel booking sites,4,6,Detractors,Variety of food,Restaurant,Poor,1
471,Guest 00471,Female,26-06-1998,12-07-2020,Vacation,hotel booking sites,5,9,Promoters,Broadband & TV,Facility,Good,3
472,Guest 00472,Male,17-12-1955,19-08-2022,Vacation,Internet advertisement,2,9,Promoters,Gym,Facility,Average,2
473,Guest 00473,Male,12-10-1998,31-03-2020,Vacation,Word of mouth,3,3,Detractors,Staff attitude,Staff,Very good,4
474,Guest 00474,Male,21-12-1969,31-03-2021,Other,News paper,4,6,Detractors,Check-in Process,Staff,Excellent,5
475,Guest 00475,Male,22-11-1988,28-02-2020,Business,Organization,3,5,Detractors,Room service,Room,Very good,4
476,Guest 00476,Male,23-08-1961,11-06-2020,Vacation,Search engine,2,8,Passives,Room cleanliness,Room,Excellent,5
477,Guest 00477,Female,02-06-1967,30-10-2020,Business,Organization,3,9,Promoters,Food quality,Restaurant,Average,2
478,Guest 00478,Male,06-10-1959,27-01-2020,Function,Word of mouth,5,3,Detractors,Variety of food,Restaurant,Poor,1
479,Guest 00479,Female,13-10-1971,13-12-2021,Business,Organization,2,8,Passives,Broadband & TV,Facility,Poor,1
480,Guest 00480,Male,14-02-1980,10-03-2021,Business,Organization,2,9,Promoters,Gym,Facility,Poor,1
481,Guest 00481,Male,18-12-1975,22-02-2022,Business,Search engine,2,3,Detractors,Staff attitude,Staff,Excellent,5
482,Guest 00482,Male,31-08-1966,17-06-2020,Function,Word of mouth,5,6,Detractors,Check-in Process,Staff,Very good,4
483,Guest 00483,Female,31-01-1985,19-07-2022,Business,Organization,5,6,Detractors,Room service,Room,Very good,4
484,Guest 00484,Female,14-02-2006,30-04-2020,Business,Organization,4,7,Passives,Room cleanliness,Room,Excellent,5
485,Guest 00485,Female,02-01-2001,21-10-2022,Vacation,Television advertisement,5,9,Promoters,Food quality,Restaurant,Very good,4
486,Guest 00486,Female,13-01-1979,22-04-2020,Function,Television advertisement,5,8,Passives,Variety of food,Restaurant,Poor,1
487,Guest 00487,Female,30-11-2006,24-10-2021,Function,Search engine,2,6,Detractors,Broadband & TV,Facility,Very good,4
488,Guest 00488,Male,19-09-1953,02-05-2020,Vacation,Search engine,5,8,Passives,Gym,Facility,Excellent,5
489,Guest 00489,Female,20-05-1985,05-07-2021,Vacation,Search engine,5,6,Detractors,Staff attitude,Staff,Very good,4
490,Guest 00490,Male,20-03-1963,12-04-2021,Function,Search engine,5,10,Promoters,Check-in Process,Staff,Very good,4
491,Guest 00491,Male,23-11-2001,02-10-2020,Vacation,Television advertisement,4,5,Detractors,Room service,Room,Very good,4
492,Guest 00492,Female,17-07-2003,11-05-2022,Vacation,Search engine,3,9,Promoters,Room cleanliness,Room,Average,2
493,Guest 00493,Male,09-09-1993,18-09-2021,Business,Organization,4,7,Passives,Food quality,Restaurant,Poor,1
494,Guest 00494,Male,29-07-1963,26-02-2022,Function,Word of mouth,2,6,Detractors,Variety of food,Restaurant,Very good,4
495,Guest 00495,Male,10-09-1961,03-05-2020,Business,Organization,5,9,Promoters,Broadband & TV,Facility,Excellent,5
496,Guest 00496,Male,25-10-1957,09-07-2021,Business,Organization,1,9,Promoters,Gym,Facility,Very good,4
497,Guest 00497,Male,06-11-1953,02-02-2022,Vacation,hotel booking sites,1,4,Detractors,Staff attitude,Staff,Poor,1
498,Guest 00498,Female,16-03-1997,30-12-2021,Vacation,Internet advertisement,5,9,Promoters,Check-in Process,Staff,Good,3
499,Guest 00499,Female,02-08-1981,12-06-2020,Vacation,Internet advertisement,4,9,Promoters,Room service,Room,Very good,4
500,Guest 00500,Female,15-12-1983,06-10-2021,Vacation,hotel booking sites,3,3,Detractors,Room cleanliness,Room,Poor,1
501,Guest 00501,Female,18-01-1970,25-08-2020,Other,Organization,3,3,Detractors,Food quality,Restaurant,Average,2
502,Guest 00502,Male,06-12-1970,17-11-2022,Vacation,Internet advertisement,4,10,Promoters,Variety of food,Restaurant,Average,2
503,Guest 00503,Female,25-11-1993,28-05-2020,Business,Organization,4,9,Promoters,Broadband & TV,Facility,Poor,1
504,Guest 00504,Male,30-06-2001,16-12-2022,Vacation,News paper,3,7,Passives,Gym,Facility,Good,3
505,Guest 00505,Male,12-11-1980,08-12-2021,Vacation,hotel booking sites,5,8,Passives,Staff attitude,Staff,Very good,4
506,Guest 00506,Male,02-07-1992,12-09-2020,Vacation,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Excellent,5
507,Guest 00507,Female,18-10-1975,06-10-2020,Vacation,Search engine,4,9,Promoters,Room service,Room,Good,3
508,Guest 00508,Female,08-11-1977,20-07-2022,Vacation,Word of mouth,2,8,Passives,Room cleanliness,Room,Excellent,5
509,Guest 00509,Male,25-12-1987,30-06-2020,Function,Word of mouth,5,8,Passives,Food quality,Restaurant,Good,3
510,Guest 00510,Male,11-01-1956,30-03-2021,Business,Organization,3,10,Promoters,Variety of food,Restaurant,Average,2
511,Guest 00511,Male,12-04-1981,22-04-2021,Business,Organization,4,9,Promoters,Broadband & TV,Facility,Excellent,5
512,Guest 00512,Male,15-10-1954,13-02-2022,Vacation,hotel booking sites,1,9,Promoters,Gym,Facility,Good,3
513,Guest 00513,Female,03-03-1959,11-05-2022,Vacation,Internet advertisement,5,7,Passives,Staff attitude,Staff,Excellent,5
514,Guest 00514,Female,06-05-1951,23-08-2022,Other,hotel booking sites,2,8,Passives,Check-in Process,Staff,Very good,4
515,Guest 00515,Male,04-02-1959,22-05-2021,Vacation,Word of mouth,4,4,Detractors,Room service,Room,Very good,4
516,Guest 00516,Male,12-07-1963,29-06-2020,Business,Word of mouth,2,9,Promoters,Room cleanliness,Room,Very good,4
517,Guest 00517,Male,28-03-1967,02-04-2022,Function,Internet advertisement,5,9,Promoters,Food quality,Restaurant,Poor,1
518,Guest 00518,Male,02-03-1957,08-09-2021,Vacation,News paper,3,7,Passives,Variety of food,Restaurant,Poor,1
519,Guest 00519,Male,07-06-1989,11-08-2020,Business,Word of mouth,2,9,Promoters,Broadband & TV,Facility,Average,2
520,Guest 00520,Male,09-12-1994,09-07-2022,Business,Organization,4,9,Promoters,Gym,Facility,Good,3
521,Guest 00521,Male,19-11-1999,22-11-2022,Other,hotel booking sites,4,9,Promoters,Staff attitude,Staff,Good,3
522,Guest 00522,Male,07-02-1994,25-08-2021,Business,Organization,4,9,Promoters,Check-in Process,Staff,Very good,4
523,Guest 00523,Male,03-06-1972,19-09-2021,Business,Organization,5,5,Detractors,Room service,Room,Excellent,5
524,Guest 00524,Female,24-06-1971,22-12-2021,Business,Organization,5,4,Detractors,Room cleanliness,Room,Good,3
525,Guest 00525,Male,08-12-1978,20-03-2020,Business,Organization,5,8,Passives,Food quality,Restaurant,Poor,1
526,Guest 00526,Female,02-01-1960,31-07-2022,Other,hotel booking sites,1,9,Promoters,Variety of food,Restaurant,Average,2
527,Guest 00527,Male,26-01-1961,18-06-2021,Vacation,Word of mouth,4,7,Passives,Broadband & TV,Facility,Poor,1
528,Guest 00528,Female,30-03-1986,07-02-2022,Business,Organization,5,10,Promoters,Gym,Facility,Excellent,5
529,Guest 00529,Male,11-06-1966,29-08-2020,Business,Organization,5,8,Passives,Staff attitude,Staff,Very good,4
530,Guest 00530,Female,29-05-1982,19-07-2022,Vacation,Television advertisement,5,9,Promoters,Check-in Process,Staff,Excellent,5
531,Guest 00531,Female,23-03-2000,05-05-2022,Vacation,Internet advertisement,3,7,Passives,Room service,Room,Excellent,5
532,Guest 00532,Female,09-04-1986,12-03-2021,Vacation,hotel booking sites,3,10,Promoters,Room cleanliness,Room,Poor,1
533,Guest 00533,Female,17-05-1959,07-12-2020,Vacation,Organization,3,6,Detractors,Food quality,Restaurant,Very good,4
534,Guest 00534,Male,16-08-1955,16-09-2020,Business,hotel booking sites,4,10,Promoters,Variety of food,Restaurant,Average,2
535,Guest 00535,Female,05-09-1969,02-09-2021,Business,Organization,5,9,Promoters,Broadband & TV,Facility,Very good,4
536,Guest 00536,Female,30-09-1957,28-12-2022,Function,Organization,4,8,Passives,Gym,Facility,Very good,4
537,Guest 00537,Female,29-11-2006,18-01-2020,Business,Organization,5,10,Promoters,Staff attitude,Staff,Very good,4
538,Guest 00538,Male,06-07-1956,30-08-2021,Function,Television advertisement,2,9,Promoters,Check-in Process,Staff,Excellent,5
539,Guest 00539,Male,01-03-2005,21-07-2020,Business,Organization,5,9,Promoters,Room service,Room,Good,3
540,Guest 00540,Female,19-11-1975,24-11-2021,Business,Organization,3,9,Promoters,Room cleanliness,Room,Average,2
541,Guest 00541,Female,18-03-1975,27-06-2020,Vacation,Word of mouth,5,7,Passives,Food quality,Restaurant,Excellent,5
542,Guest 00542,Male,19-12-1956,28-06-2020,Vacation,Television advertisement,5,9,Promoters,Variety of food,Restaurant,Poor,1
543,Guest 00543,Male,13-08-1978,24-12-2021,Business,Organization,3,3,Detractors,Broadband & TV,Facility,Poor,1
544,Guest 00544,Female,22-08-1994,01-10-2021,Vacation,Internet advertisement,4,4,Detractors,Gym,Facility,Excellent,5
545,Guest 00545,Male,30-06-1991,05-07-2022,Vacation,hotel booking sites,5,7,Passives,Staff attitude,Staff,Good,3
546,Guest 00546,Male,25-11-1969,05-09-2021,Business,Organization,5,9,Promoters,Check-in Process,Staff,Very good,4
547,Guest 00547,Male,01-11-1987,01-08-2022,Other,Search engine,3,9,Promoters,Room service,Room,Poor,1
548,Guest 00548,Female,06-07-1996,24-02-2022,Function,Search engine,4,9,Promoters,Room cleanliness,Room,Excellent,5
549,Guest 00549,Female,29-07-1994,06-08-2020,Vacation,hotel booking sites,2,9,Promoters,Food quality,Restaurant,Poor,1
550,Guest 00550,Male,28-08-1982,25-11-2022,Vacation,Internet advertisement,4,8,Passives,Variety of food,Restaurant,Poor,1
551,Guest 00551,Male,11-08-1999,07-12-2021,Business,Organization,1,9,Promoters,Broadband & TV,Facility,Very good,4
552,Guest 00552,Female,06-05-1970,23-08-2021,Other,hotel booking sites,3,8,Passives,Gym,Facility,Average,2
553,Guest 00553,Male,03-02-1958,11-09-2022,Business,Organization,5,4,Detractors,Staff attitude,Staff,Very good,4
554,Guest 00554,Female,31-12-1960,02-07-2022,Vacation,hotel booking sites,5,6,Detractors,Check-in Process,Staff,Very good,4
555,Guest 00555,Female,18-02-1975,28-09-2020,Function,Television advertisement,2,5,Detractors,Room service,Room,Very good,4
556,Guest 00556,Female,01-05-1963,04-12-2020,Vacation,Television advertisement,4,9,Promoters,Room cleanliness,Room,Very good,4
557,Guest 00557,Female,23-03-1975,03-01-2022,Business,Organization,2,4,Detractors,Food quality,Restaurant,Very good,4
558,Guest 00558,Female,02-04-1959,13-12-2020,Business,Search engine,3,9,Promoters,Variety of food,Restaurant,Poor,1
559,Guest 00559,Male,12-08-1959,08-08-2021,Other,Word of mouth,5,9,Promoters,Broadband & TV,Facility,Good,3
560,Guest 00560,Female,14-05-2001,21-06-2020,Business,Search engine,4,8,Passives,Gym,Facility,Poor,1
561,Guest 00561,Male,08-10-1988,29-10-2020,Function,Search engine,5,9,Promoters,Staff attitude,Staff,Very good,4
562,Guest 00562,Male,27-05-2003,24-11-2020,Vacation,hotel booking sites,4,7,Passives,Check-in Process,Staff,Average,2
563,Guest 00563,Female,12-02-1964,24-05-2020,Other,hotel booking sites,5,8,Passives,Room service,Room,Very good,4
564,Guest 00564,Male,31-05-1978,15-02-2020,Vacation,Word of mouth,1,9,Promoters,Room cleanliness,Room,Very good,4
565,Guest 00565,Female,28-10-2002,09-07-2020,Vacation,Internet advertisement,2,9,Promoters,Food quality,Restaurant,Average,2
566,Guest 00566,Male,02-04-1988,22-11-2020,Vacation,Word of mouth,4,9,Promoters,Variety of food,Restaurant,Average,2
567,Guest 00567,Male,05-09-2000,16-11-2022,Vacation,Word of mouth,1,9,Promoters,Broadband & TV,Facility,Average,2
568,Guest 00568,Female,09-01-2002,06-11-2022,Vacation,hotel booking sites,5,9,Promoters,Gym,Facility,Excellent,5
569,Guest 00569,Male,19-12-1982,30-01-2020,Vacation,Search engine,5,9,Promoters,Staff attitude,Staff,Good,3
570,Guest 00570,Female,27-04-1955,31-01-2020,Business,Organization,3,4,Detractors,Check-in Process,Staff,Excellent,5
571,Guest 00571,Female,21-12-1979,18-03-2021,Vacation,hotel booking sites,3,5,Detractors,Room service,Room,Average,2
572,Guest 00572,Male,25-09-1976,27-02-2021,Vacation,Internet advertisement,5,7,Passives,Room cleanliness,Room,Good,3
573,Guest 00573,Male,05-02-1958,08-09-2020,Vacation,Internet advertisement,4,9,Promoters,Food quality,Restaurant,Very good,4
574,Guest 00574,Female,31-12-1979,15-04-2021,Business,Organization,5,7,Passives,Variety of food,Restaurant,Poor,1
575,Guest 00575,Female,15-05-1983,24-05-2022,Business,Organization,3,10,Promoters,Broadband & TV,Facility,Average,2
576,Guest 00576,Male,12-03-1984,05-04-2022,Business,Organization,3,8,Passives,Gym,Facility,Excellent,5
577,Guest 00577,Male,17-12-1955,03-09-2020,Vacation,hotel booking sites,5,5,Detractors,Staff attitude,Staff,Very good,4
578,Guest 00578,Male,27-02-1992,22-12-2022,Business,Organization,5,9,Promoters,Check-in Process,Staff,Very good,4
579,Guest 00579,Female,01-09-1980,10-11-2022,Function,Television advertisement,3,9,Promoters,Room service,Room,Very good,4
580,Guest 00580,Female,12-02-1965,28-05-2021,Vacation,hotel booking sites,4,5,Detractors,Room cleanliness,Room,Good,3
581,Guest 00581,Male,09-04-1952,06-12-2021,Vacation,Word of mouth,4,10,Promoters,Food quality,Restaurant,Good,3
582,Guest 00582,Male,09-03-2000,24-03-2022,Business,Organization,5,8,Passives,Variety of food,Restaurant,Very good,4
583,Guest 00583,Male,18-08-1963,05-06-2020,Business,Word of mouth,2,9,Promoters,Broadband & TV,Facility,Average,2
584,Guest 00584,Male,03-04-1998,12-10-2021,Function,Word of mouth,1,5,Detractors,Gym,Facility,Poor,1
585,Guest 00585,Female,11-01-1964,22-09-2022,Business,Organization,1,3,Detractors,Staff attitude,Staff,Very good,4
586,Guest 00586,Male,12-08-1990,11-07-2022,Business,Organization,4,10,Promoters,Check-in Process,Staff,Good,3
587,Guest 00587,Female,30-04-2003,01-11-2020,Vacation,Television advertisement,4,9,Promoters,Room service,Room,Very good,4
588,Guest 00588,Female,10-01-1974,11-08-2021,Business,Organization,5,4,Detractors,Room cleanliness,Room,Poor,1
589,Guest 00589,Male,14-12-1989,27-05-2021,Vacation,Search engine,5,6,Detractors,Food quality,Restaurant,Poor,1
590,Guest 00590,Male,06-09-1994,08-07-2022,Vacation,Word of mouth,5,3,Detractors,Variety of food,Restaurant,Average,2
591,Guest 00591,Female,26-02-1953,15-12-2021,Business,Organization,3,9,Promoters,Broadband & TV,Facility,Average,2
592,Guest 00592,Male,14-01-1960,07-07-2020,Vacation,Word of mouth,2,9,Promoters,Gym,Facility,Excellent,5
593,Guest 00593,Male,26-01-1974,05-09-2022,Business,Organization,5,5,Detractors,Staff attitude,Staff,Poor,1
594,Guest 00594,Male,08-08-1952,27-02-2021,Function,Word of mouth,5,9,Promoters,Check-in Process,Staff,Average,2
595,Guest 00595,Female,13-03-1995,19-04-2022,Vacation,Word of mouth,1,9,Promoters,Room service,Room,Very good,4
596,Guest 00596,Male,31-12-1978,02-03-2020,Function,Search engine,4,10,Promoters,Room cleanliness,Room,Good,3
597,Guest 00597,Female,30-10-1960,08-03-2020,Business,Organization,5,9,Promoters,Food quality,Restaurant,Average,2
598,Guest 00598,Female,25-06-1991,14-03-2021,Business,Organization,3,9,Promoters,Variety of food,Restaurant,Average,2
599,Guest 00599,Female,05-06-2003,27-05-2021,Business,Organization,3,9,Promoters,Broadband & TV,Facility,Very good,4
600,Guest 00600,Female,18-06-2001,03-12-2022,Business,Organization,4,9,Promoters,Gym,Facility,Excellent,5
601,Guest 00601,Female,14-03-1995,20-01-2021,Vacation,Internet advertisement,4,7,Passives,Staff attitude,Staff,Very good,4
602,Guest 00602,Female,10-04-1990,25-11-2021,Vacation,hotel booking sites,2,7,Passives,Check-in Process,Staff,Excellent,5
603,Guest 00603,Female,12-01-1951,29-07-2021,Vacation,Search engine,4,7,Passives,Room service,Room,Good,3
604,Guest 00604,Male,18-11-1961,16-07-2022,Business,hotel booking sites,5,4,Detractors,Room cleanliness,Room,Very good,4
605,Guest 00605,Female,15-05-1953,24-05-2022,Vacation,Television advertisement,2,9,Promoters,Food quality,Restaurant,Poor,1
606,Guest 00606,Male,03-12-1955,17-04-2021,Business,Organization,4,9,Promoters,Variety of food,Restaurant,Average,2
607,Guest 00607,Male,01-12-1954,18-07-2021,Business,Organization,2,9,Promoters,Broadband & TV,Facility,Excellent,5
608,Guest 00608,Male,28-03-1978,19-09-2020,Business,Organization,5,9,Promoters,Gym,Facility,Excellent,5
609,Guest 00609,Male,21-11-1963,29-07-2021,Function,Word of mouth,1,9,Promoters,Staff attitude,Staff,Very good,4
610,Guest 00610,Male,25-01-1972,02-02-2022,Vacation,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Very good,4
611,Guest 00611,Female,29-09-1964,23-01-2022,Other,hotel booking sites,4,9,Promoters,Room service,Room,Very good,4
612,Guest 00612,Male,15-08-1988,01-03-2021,Business,Organization,2,9,Promoters,Room cleanliness,Room,Excellent,5
613,Guest 00613,Female,10-12-1990,11-10-2021,Business,Organization,5,7,Passives,Food quality,Restaurant,Very good,4
614,Guest 00614,Male,21-04-2003,25-10-2021,Function,Television advertisement,5,8,Passives,Variety of food,Restaurant,Good,3
615,Guest 00615,Male,04-11-2002,13-10-2020,Vacation,Search engine,5,8,Passives,Broadband & TV,Facility,Poor,1
616,Guest 00616,Female,17-06-1953,05-10-2020,Business,Organization,4,9,Promoters,Gym,Facility,Very good,4
617,Guest 00617,Female,08-09-1958,12-06-2020,Vacation,Internet advertisement,3,9,Promoters,Staff attitude,Staff,Very good,4
618,Guest 00618,Male,30-07-1964,20-09-2021,Vacation,Internet advertisement,3,9,Promoters,Check-in Process,Staff,Good,3
619,Guest 00619,Male,30-08-1981,14-06-2020,Business,Organization,2,6,Detractors,Room service,Room,Very good,4
620,Guest 00620,Female,27-01-1971,12-02-2021,Function,Organization,5,5,Detractors,Room cleanliness,Room,Excellent,5
621,Guest 00621,Female,07-05-1966,21-08-2021,Business,Organization,1,9,Promoters,Food quality,Restaurant,Average,2
622,Guest 00622,Female,24-08-1979,30-04-2021,Business,Organization,3,9,Promoters,Variety of food,Restaurant,Average,2
623,Guest 00623,Female,15-08-1974,08-12-2021,Vacation,Search engine,5,5,Detractors,Broadband & TV,Facility,Good,3
625,Guest 00625,Female,07-04-1982,23-03-2020,Business,Search engine,2,4,Detractors,Staff attitude,Staff,Very good,4
626,Guest 00626,Male,05-01-1986,04-03-2022,Vacation,hotel booking sites,3,9,Promoters,Check-in Process,Staff,Average,2
627,Guest 00627,Male,27-03-1971,09-01-2020,Vacation,hotel booking sites,4,9,Promoters,Room service,Room,Good,3
628,Guest 00628,Female,29-11-1961,01-03-2021,Vacation,hotel booking sites,1,7,Passives,Room cleanliness,Room,Excellent,5
629,Guest 00629,Female,19-08-1960,08-12-2022,Vacation,Television advertisement,2,10,Promoters,Food quality,Restaurant,Good,3
630,Guest 00630,Female,10-04-1977,05-12-2020,Business,Organization,2,6,Detractors,Variety of food,Restaurant,Average,2
631,Guest 00631,Male,12-09-1965,01-07-2021,Vacation,Word of mouth,5,8,Passives,Broadband & TV,Facility,Very good,4
632,Guest 00632,Male,18-04-1957,30-05-2020,Business,Organization,1,9,Promoters,Gym,Facility,Very good,4
633,Guest 00633,Male,13-01-2000,23-09-2021,Vacation,Internet advertisement,5,9,Promoters,Staff attitude,Staff,Good,3
634,Guest 00634,Female,23-12-1995,28-12-2020,Business,Organization,4,6,Detractors,Check-in Process,Staff,Very good,4
635,Guest 00635,Female,02-11-1957,01-01-2021,Vacation,Internet advertisement,2,9,Promoters,Room service,Room,Very good,4
636,Guest 00636,Male,03-05-1976,14-12-2021,Vacation,Internet advertisement,2,9,Promoters,Room cleanliness,Room,Average,2
637,Guest 00637,Female,11-05-2001,14-11-2022,Business,Organization,4,9,Promoters,Food quality,Restaurant,Very good,4
638,Guest 00638,Male,09-10-1988,23-01-2020,Vacation,Organization,3,10,Promoters,Variety of food,Restaurant,Average,2
639,Guest 00639,Female,22-09-2001,16-10-2020,Vacation,Organization,4,9,Promoters,Broadband & TV,Facility,Very good,4
640,Guest 00640,Male,04-02-2002,31-05-2022,Business,Search engine,2,8,Passives,Gym,Facility,Average,2
641,Guest 00641,Male,01-02-1969,29-01-2020,Business,Organization,5,10,Promoters,Staff attitude,Staff,Excellent,5
642,Guest 00642,Male,12-09-1982,29-08-2020,Business,Organization,5,6,Detractors,Check-in Process,Staff,Very good,4
643,Guest 00643,Female,24-07-1977,26-04-2020,Vacation,Internet advertisement,4,9,Promoters,Room service,Room,Good,3
644,Guest 00644,Male,05-07-1957,24-05-2020,Function,Internet advertisement,5,8,Passives,Room cleanliness,Room,Average,2
645,Guest 00645,Male,28-06-1996,28-03-2022,Vacation,Word of mouth,3,9,Promoters,Food quality,Restaurant,Average,2
646,Guest 00646,Female,07-10-1968,24-06-2020,Business,Organization,5,8,Passives,Variety of food,Restaurant,Average,2
647,Guest 00647,Female,23-05-1983,02-10-2020,Vacation,Internet advertisement,4,9,Promoters,Broadband & TV,Facility,Good,3
